Word,Meaning
avid,marked by active interest and enthusiasm
baleful,threatening or foreshadowing evil or tragic developments
balk,refuse to proceed or comply
banal,repeated too often; overfamiliar through overuse
baneful,evil or sinister
banter,light teasing repartee
barefaced,with no effort to conceal
bask,"expose oneself to warmth and light, as for relaxation"
belie,be in contradiction with
bellicose,having or showing a ready disposition to fight
benevolent,showing or motivated by sympathy and understanding
benign,kind in disposition or manner
bilk,"cheat somebody out of what is due, especially money"
bizarre,conspicuously or grossly unconventional or unusual
blandishment,flattery intended to persuade
bleak,unpleasantly cold and damp
blithe,carefree and happy and lighthearted
blunder,an embarrassing mistake
board,a stout length of sawn timber
bog,wet spongy ground of decomposing vegetation
bogus,fraudulent; having a misleading appearance
bolster,support and strengthen
bombast,pompous or pretentious talk or writing
boor,a crude uncouth ill-bred person lacking refinement
breach,"an opening, especially a gap in a dike or fortification"
brisk,quick and energetic
brittle,having little elasticity
brood,"hang over, as of something threatening, dark, or menacing"
burgeon,grow and flourish
burlesque,a theatrical entertainment of broad and earthy humor
buttress,a support usually of stone or brick
cadge,obtain or seek to obtain by wheedling
cajole,"influence or urge by gentle urging, caressing, or flattering"
calisthenics,light exercises designed to promote general fitness
cant,a slope in the turn of a road or track
caprice,a sudden desire
captor,a person who entraps and holds someone else
castigate,inflict severe punishment on
catalyst,substance that initiates or accelerates a chemical reaction
caustic,capable of destroying or eating away by chemical action
cavern,a large cave or a large chamber in a cave
censor,a person authorized to suppress unacceptable material
censure,harsh criticism or disapproval
cessation,a stopping
charter,a document creating an institution and specifying its rights
chary,characterized by great caution
chicanery,the use of tricks to deceive someone
circumlocution,an indirect way of expressing something
circumspect,careful to consider potential consequences and avoid risk
claim,assert or affirm strongly
clot,a lump of material formed from the content of a liquid
clumsy,lacking grace in movement or posture
coerce,cause to do through pressure or necessity
cogent,powerfully persuasive
cognizance,the state or act of having knowledge of
coherent,marked by an orderly and consistent relation of parts
collusion,secret agreement
commensurate,corresponding in size or degree or extent
commentator,an expert who observes and remarks on something
complacent,contented to a fault with oneself or one's actions
complaisant,showing a cheerful willingness to do favors for others
composure,steadiness of mind under stress
concede,give over
conceit,the trait of being unduly vain
concession,the act of yielding
conciliatory,making or willing to make concessions
concoct,make something by mixing
concur,happen simultaneously
condescend,behave in a patronizing manner
conducive,tending to bring about; being partly responsible for
confidential,given in secret
confine,place limits on
conflagration,a very intense and uncontrolled fire
conflate,mix together different elements
confound,be confusing or perplexing to
confrontation,discord resulting from a clash of ideas or opinions
congruent,corresponding in character or kind
conifer,a type of tree or shrub bearing cones
conjecture,believe especially on uncertain or tentative grounds
conjure,summon into action or bring into existence
conscript,enroll into service compulsorily
consensus,agreement in the judgment reached by a group as a whole
consign,give over to another for care or safekeeping
console,give moral or emotional strength to
conspicuous,obvious to the eye or mind
conspire,act in agreement and in secret towards a deceitful purpose
consternation,sudden shock or dismay that causes confusion
contend,compete for something
contentious,showing an inclination to disagree
contingent,determined by conditions or circumstances that follow
contrite,feeling or expressing pain or sorrow
controversial,marked by or capable of causing disagreement
convoke,call together
convoluted,highly complex or intricate
corporal,affecting the body as opposed to the mind or spirit
corroborate,give evidence for
covert,secret or hidden
covet,"wish, long, or crave for"
cower,crouch or curl up
coy,affectedly shy especially in a playful or provocative way
crave,have an appetite or great desire for
craven,lacking even the rudiments of courage; abjectly fearful
crease,an angular indentation made by folding
credulity,tendency to believe readily
crockery,ceramic dishes used for serving food
culpable,deserving blame or censure as being wrong or injurious
curb,the act of restraining power or action or limiting excess
dabble,bob under so as to feed off the bottom of a body of water
dampen,lessen in force or effect
dangle,hang freely
dazzle,"cause to lose clear vision, especially from intense light"
dearth,an insufficient quantity or number
debacle,a sudden and complete disaster
debilitate,make weak
decorous,characterized by propriety and dignity and good taste
decorum,propriety in manners and conduct
decree,a legally binding command or decision
decry,express strong disapproval of
dedication,complete and wholehearted fidelity
defer,yield to another's wish or opinion
deference,courteous regard for people's feelings
defiance,a hostile challenge
defiant,boldly resisting authority or an opposing force
deft,skillful in physical movements; especially of the hands
delineate,represented accurately or precisely
deluge,a heavy rain
demote,assign to a lower position; reduce in rank
demur,politely refuse or take exception to
denounce,speak out against
denunciation,a public act of condemnation
deposition,the act of putting something somewhere
deprivation,the disadvantage that results from losing something
deprive,take away
descry,catch sight of
desiccate,lacking vitality or spirit; lifeless
desperate,a person who is frightened and in need of help
despicable,morally reprehensible
detached,no longer connected or joined
deter,turn away from as by fear or persuasion
devoid,completely wanting or lacking
diatribe,thunderous verbal attack
dichotomy,a classification into two opposed parts or subclasses
diffident,showing modest reserve
digress,wander from a direct or straight course
dilettante,an amateur engaging in an activity without serious intention
diligent,quietly and steadily persevering in detail or exactness
din,"a loud, harsh, or strident noise"
dirge,a song or hymn of mourning as a memorial to a dead person
disabuse,free somebody from an erroneous belief
disassemble,take apart
disburse,"expend, as from a fund"
discomfit,cause to lose one's composure
discourse,an extended communication dealing with some particular topic
discreet,marked by prudence or modesty and wise self-restraint
discrete,constituting a separate entity or part
disdain,lack of respect accompanied by a feeling of intense dislike
disguise,any attire that conceals the wearer's identity
disinterested,unaffected by concern for one's own welfare
dislodge,remove or force from a position previously occupied
disparate,fundamentally different or distinct in quality or kind
disparity,inequality or difference in some respect
dispassionate,unaffected by strong emotion or prejudice
dispel,cause to separate and go in different directions
disprove,show to be false
dissemble,behave unnaturally or affectedly
dissent,a difference of opinion
distend,cause to expand as if by internal pressure
distract,draw someone's attention away from something
distraught,deeply agitated especially from emotion
divest,take away possessions from someone
divulge,make known to the public information previously kept secret
docile,easily handled or managed
dogmatic,pertaining to a code of beliefs accepted as authoritative
doleful,filled with or evoking sadness
dormant,inactive but capable of becoming active
drab,a dull greyish to yellowish or light olive brown
drawl,a slow speech pattern with prolonged vowels
droll,comical in an odd or whimsical manner
drone,make a monotonous low dull sound
drought,a shortage of rainfall
dubious,fraught with uncertainty or doubt
dumbfound,be a mystery or bewildering to
dupe,fool or hoax
dwindle,become smaller or lose substance
ebullient,joyously unrestrained
eclectic,selecting what seems best of various styles or ideas
efface,remove by or as if by rubbing or erasing
efficacious,giving the power to produce an intended result
effrontery,audacious behavior that you have no right to
egalitarian,favoring social equality
egregious,conspicuously and outrageously bad or reprehensible
elicit,"call forth, as an emotion, feeling, or response"
eloquence,powerful and effective language
elucidate,make clear and comprehensible
elusive,skillful at evading capture
embellish,"make more attractive, as by adding ornament or color"
embrace,"squeeze tightly in your arms, usually with fondness"
emissary,someone sent to represent another's interests
emollient,a substance with a soothing effect when applied to the skin
enchant,cast a spell over someone or something
encomium,a formal expression of praise
encroach,advance beyond the usual limit
encumber,"hold back, impede, or weigh down"
endeavor,attempt by employing effort
endorse,approve of
enervate,"weaken physically, mentally, or morally"
engender,call forth
engrossed,giving or marked by complete attention to
enigma,something that baffles understanding and cannot be explained
enlist,join the military
ensign,a person who holds a commissioned rank in the U.S. Navy
entrenched,dug in
ephemeral,"anything short-lived, as an insect that lives only for a day"
epistemology,the philosophical theory of knowledge
epistle,"a specially long, formal letter"
epithet,descriptive word or phrase
epitome,a standard or typical example
equivocate,be deliberately ambiguous or unclear
equivocation,intentional vagueness or ambiguity
eradicate,"destroy completely, as if down to the roots"
erratic,liable to sudden unpredictable change
erudite,having or showing profound knowledge
eschew,avoid and stay away from deliberately
esoteric,understandable only by an enlightened inner circle
espouse,"choose and follow a theory, idea, policy, etc."
espy,catch sight of
ethos,the distinctive spirit of a culture or an era
euphemism,an inoffensive expression substituted for an offensive one
euphoria,a feeling of great elation
evanescent,short-lived; tending to vanish or disappear
evict,expel or eject without recourse to legal process
evoke,"call forth, as an emotion, feeling, or response"
exacerbate,make worse
exculpate,pronounce not guilty of criminal charges
exemplary,worthy of imitation
exemplify,be characteristic of
exhort,spur on or encourage especially by cheers and shouts
exigent,demanding immediate attention
exonerate,pronounce not guilty of criminal charges
exorbitant,greatly exceeding bounds of reason or moderation
expend,use up or consume fully
expiate,make amends for
explicit,precisely and clearly expressed or readily observable
exploit,use or manipulate to one's advantage
extant,still in existence; not extinct or destroyed or lost
extempore,with little or no preparation or forethought
extensive,large in spatial extent or range or scope or quantity
extent,the point or degree to which something extends
extol,"praise, glorify, or honor"
extravagant,recklessly wasteful
exuberant,joyously unrestrained
facetious,cleverly amusing in tone
faddish,intensely fashionable or popular for a short time
fallacious,containing or based on incorrect reasoning
fallacy,a misconception resulting from incorrect reasoning
falter,"move hesitatingly, as if about to give way"
fanatical,marked by excessive enthusiasm for a cause or idea
fathom,a linear unit of measurement for water depth
fawn,a young deer
feckless,generally incompetent and ineffectual
feign,make believe with the intent to deceive
felon,someone who has been legally convicted of a crime
fervent,characterized by intense emotion
fervid,characterized by intense emotion
fervor,feelings of great warmth and intensity
feud,a bitter quarrel between two parties
fickle,liable to sudden unpredictable change
fidget,move restlessly
finicky,"fussy, especially about details"
flamboyant,tending to attract attention; marked by ostentatious display
flatter,praise somewhat dishonestly
flaunt,display proudly
fledgling,young bird that has just become capable of flying
flimsy,a thin strong lightweight translucent paper
flinch,"draw back, as with fear or pain"
flippant,showing an inappropriate lack of seriousness
flirt,"talk or behave amorously, without serious intentions"
florid,elaborately or excessively ornamented
flounder,"move clumsily or struggle to move, as in mud or water"
flout,treat with contemptuous disregard
fluffy,like down or as soft as down
fluke,a stroke of luck
flustered,thrown into a state of agitated confusion
foible,a minor weakness or peculiarity in someone's character
foment,try to stir up
foolhardy,marked by defiant disregard for danger or consequences
foppish,overly concerned with extreme elegance in dress and manner
foreclosure,proceedings initiated to repossess the collateral for a loan
forestall,keep from happening or arising; make impossible
forge,create by hammering
forgery,criminal falsification by making or altering an instrument
formidable,extremely impressive in strength or excellence
forthright,directly and without evasion; not roundabout
fortuitous,lucky; occurring by happy chance
foster,providing nurture though not related by blood or legal ties
fracas,a noisy quarrel
fraud,intentional deception resulting in injury to another person
frenzy,state of violent mental agitation
fret,be agitated or irritated
frivolous,"not serious in content, attitude, or behavior"
frown,a facial expression of dislike or displeasure
fulminate,cause to explode violently and with loud noise
furtive,secret and sly
gaffe,a socially awkward or tactless act
gainsay,take exception to
garner,assemble or get together
garrulous,full of trivial conversation
gauche,lacking social poise or refinement
gaudy,tastelessly showy
gavel,a small mallet used by a presiding officer or a judge
ghastly,shockingly repellent; inspiring horror
gird,bind with something round or circular
gist,the central meaning or theme of a speech or literary work
glib,artfully persuasive in speech
gloat,dwell on with satisfaction
goad,stab or urge on as if with a pointed stick
gorge,"a deep ravine, usually with a river running through it"
gossamer,a gauze fabric with an extremely fine texture
gouge,"an impression in a surface, as made by a blow"
gravel,rock fragments and pebbles
gravity,the force of attraction between all masses in the universe
gregarious,temperamentally seeking and enjoying the company of others
grill,a framework of metal bars used as a partition or a grate
grovel,show submission or fear
grudging,petty or reluctant in giving or spending
grumble,make complaining remarks or noises under one's breath
guarded,cautious and reserved
guile,shrewdness as demonstrated by being skilled in deception
guileless,innocent and free of deceit
gullible,naive and easily deceived or tricked
hackneyed,repeated too often; overfamiliar through overuse
hallucinate,have illusions; perceive what is not actually there
hamper,prevent the progress or free movement of
hapless,unfortunate and deserving pity
harangue,a loud bombastic declamation expressed with strong emotion
harbor,a sheltered port where ships can take on or discharge cargo
heretic,a person whose religious beliefs conflict with church dogma
heretical,departing from accepted beliefs or standards
heterodox,characterized by departure from accepted standards
hoax,something intended to deceive
holster,a sheath for carrying a handgun
hyperbole,extravagant exaggeration
hypocritical,professing feelings or virtues one does not have
iconoclast,someone who attacks cherished ideas or institutions
idiosyncrasy,a behavioral attribute peculiar to an individual
illicit,contrary to accepted morality or convention
imbibe,take in liquids
imbue,spread or diffuse through
immutable,not subject or susceptible to change or variation
impair,make worse or less effective
impassive,having or revealing little emotion or sensibility
impecunious,not having enough money to pay for necessities
impede,be a hindrance or obstacle to
impediment,something immaterial that interferes with action or progress
imperative,requiring attention or action
imperious,having or showing arrogant superiority
impervious,not admitting of passage or capable of being affected
impetuous,characterized by undue haste and lack of thought
implacable,incapable of being appeased or pacified
imposture,pretending to be another person
impregnable,incapable of being attacked or tampered with
impromptu,with little or no preparation or forethought
improvidence,"a lack of prudence, care, or foresight"
improvise,manage in a makeshift way; do with whatever is at hand
impudent,improperly forward or bold
impugn,attack as false or wrong
impunity,exemption from punishment or loss
inadvertent,happening by chance or unexpectedly or unintentionally
inauspicious,boding ill
inchoate,only partly in existence; imperfectly formed
incidence,the relative frequency of occurrence of something
incipient,only partly in existence; imperfectly formed
incongruous,lacking in harmony or compatibility or appropriateness
incorrigible,impervious to correction by punishment
incursion,the act of entering some territory or domain
indelible,"not able to be forgotten, removed, or erased"
indict,accuse formally of a crime
indigenous,originating where it is found
indignant,angered at something unjust or wrong
induce,cause to act in a specified manner
indulge,yield to; give satisfaction to
ineffable,defying expression or description
inept,generally incompetent and ineffectual
inextricable,incapable of being disentangled or untied
infiltrate,pass through an enemy line in a military conflict
inflammable,easily ignited
infuse,"fill, as with a certain quality"
ingenious,showing inventiveness and skill
ingenuous,lacking in sophistication or worldliness
ingrained,deeply rooted; firmly fixed or held
inimical,tending to obstruct or cause harm
iniquitous,characterized by injustice or wickedness
innocuous,not injurious to physical or mental health
inopportune,not suitable for a purpose
inquisitive,given to questioning
insensible,barely able to be perceived
insignia,a badge worn to show official position
insinuate,suggest in an indirect or covert way; give to understand
insipid,lacking interest or significance or impact
insular,relating to or characteristic of or situated on an island
intact,undamaged in any way
interregnum,the time between two reigns or governments
intransigent,"impervious to pleas, persuasion, requests, or reason"
intrepid,invulnerable to fear or intimidation
intricate,having many complexly arranged elements; elaborate
intrigue,a crafty and involved plot to achieve your ends
inundate,"fill or cover completely, usually with water"
inured,made tough by habitual exposure
invective,abusive language used to express blame or censure
invert,turn inside out or upside down
invigorate,give life or energy to
invoke,request earnestly; ask for aid or protection
irascible,quickly aroused to anger
irate,feeling or showing extreme anger
jamb,a vertical side piece of a door or window frame
jeer,laugh at with contempt and derision
jeopardy,a source of danger
jest,activity characterized by good humor
jocular,characterized by jokes and good humor
jovial,full of or showing high-spirited merriment
judicious,marked by the exercise of common sense in practical matters
lackluster,not having brilliance or vitality
laconic,brief and to the point
lasso,a long noosed rope used to catch animals
latitude,an imaginary line around the Earth parallel to the equator
laudable,worthy of high praise
lavish,very generous
leash,restraint consisting of a rope used to restrain an animal
leaven,a substance used to produce fermentation in dough
lethargic,deficient in alertness or activity
lethargy,inactivity; showing an unusual lack of energy
levee,an embankment built to prevent a river from overflowing
leviathan,the largest or most massive thing of its kind
levy,impose and collect
libertine,unrestrained by convention or morality
ligneous,consisting of or resembling wood
limerick,a humorous rhymed verse form of five lines
limp,walk impeded by some physical injury
linen,a fabric woven with fibers from the flax plant
literal,limited to the explicit meaning of a word or text
lizard,relatively long-bodied reptile with legs and a tapering tail
loafer,a person who is idle and does no work
loll,be lazy or idle
loom,a textile machine for weaving yarn into a textile
lope,run easily
loquacious,full of trivial conversation
lucid,transparently clear; easily understandable
lucrative,producing a sizeable profit
ludicrous,inviting ridicule
lugubrious,excessively mournful
lull,make calm or still
lumber,the wood of trees prepared for use as building material
luminous,softly bright or radiant
lustrous,reflecting light
mace,a ceremonial staff carried as a symbol of office
macerate,soften and cause to disintegrate as a result
magnanimity,nobility and generosity of spirit
malapropism,misuse of a word by confusion with one that sounds similar
malevolent,wishing or appearing to wish evil to others
malign,speak unfavorably about
malingerer,someone shirking duty by feigning illness or incapacity
manifest,clearly revealed to the mind or the senses or judgment
martial,suggesting war or military life
martinet,someone who demands exact conformity to rules and forms
maverick,someone who exhibits independence in thought and action
meager,deficient in amount or quality or extent
meddle,intrude in other people's affairs or business
mediocre,moderate to inferior in quality
mend,restore by putting together what is torn or broken
mendacious,given to lying
mercenary,a person hired to fight for another country than their own
mercurial,liable to sudden unpredictable change
metaphysics,the philosophical study of being and knowing
meticulous,marked by precise accordance with details
mettle,the courage to carry on
mettlesome,"having a proud, courageous, and unbroken spirit"
minuscule,very small
mirth,great merriment
misanthrope,someone who dislikes people in general
misnomer,an incorrect or unsuitable name
misogynist,a misanthrope who dislikes women in particular
mistrust,regard with suspicion
mitigate,lessen or to try to lessen the seriousness or extent of
moat,ditch dug as a fortification and usually filled with water
mollify,cause to be more favorably inclined
mollycoddle,treat with excessive indulgence
molt,"cast off hair, skin, horn, or feathers"
morose,showing a brooding ill humor
mosaic,design made of small pieces of colored stone or glass
mundane,found in the ordinary course of events
nadir,the lowest point of anything
narcotic,a drug that produces numbness or stupor
nausea,the state that precedes vomiting
nefarious,extremely wicked
neglect,leave undone or leave out
nocturnal,belonging to or active during the night
noisome,causing or able to cause nausea
nonchalant,marked by casual unconcern or indifference
nondescript,lacking distinct or individual characteristics
notion,a general inclusive concept
oaf,"an awkward, foolish person"
obdurate,stubbornly persistent in wrongdoing
obeisance,bending the head or body in reverence or submission
obelisk,a stone pillar tapering towards a pyramidal top
obese,excessively large
obfuscate,make obscure or unclear
obituary,a notice of someone's death
objurgate,censure severely
objurgation,rebuking a person harshly
obligatory,required by compulsion or convention
oblique,slanting or inclined in direction or course or position
obliquity,the quality of being deliberately vague or deceptive
obliterate,remove completely from recognition or memory
oblivion,the state of being disregarded or forgotten
obloquy,state of disgrace resulting from public abuse
obnoxious,causing disapproval or protest
obscure,not clearly understood or expressed
obsequious,attempting to win favor from influential people by flattery
obsession,an unhealthy and compulsive preoccupation with something
obsidian,glass formed by the cooling of lava without crystallization
obsolete,no longer in use
obstetrician,a physician specializing in childbirth
obstreperous,noisily and stubbornly defiant
obtrude,push to thrust outward
obtrusive,sticking out; protruding
obtuse,"of an angle, between 90 and 180 degrees"
obviate,do away with
obvious,easily perceived by the senses or grasped by the mind
occult,supernatural forces and events and beings collectively
oculist,a person skilled in testing for defects of vision
odious,extremely repulsive or unpleasant
odium,hate coupled with disgust
odoriferous,"emitting a smell, especially an unpleasant smell"
odorous,having a characteristic aroma
offal,viscera and trimmings of a butchered animal
officious,intrusive in a meddling or offensive manner
ogle,"stare or look at, especially with amorous intentions"
olfactory,of or relating to the sense of smell
oligarchy,a political system governed by a few people
ominous,threatening or foreshadowing evil or tragic developments
omnipotent,having unlimited power
omnipresent,existing everywhere at once
omniscient,"knowing, seeing, or understanding everything"
omnivorous,feeding on both plants and animals
onerous,burdensome or difficult to endure
onomatopoeia,using words that imitate the sound they denote
onslaught,an offensive against an enemy
onus,a burdensome or difficult concern
opalescent,having a play of lustrous rainbow colors
opaque,not transmitting or reflecting light or radiant energy
opiate,a narcotic drug
opportune,suitable or advantageous especially for a particular purpose
opportunist,a person who places expediency above principle
opprobrious,expressing offensive reproach
opprobrium,a state of extreme dishonor
optician,a worker who makes glasses for remedying defects of vision
optimum,most desirable possible under a restriction
optometrist,a person skilled in testing for defects of vision
opulence,wealth as evidenced by sumptuous living
opus,a musical work that has been created
oratorio,a musical composition for voices and orchestra
ordinance,an authoritative rule
orientation,the act of determining one's position
orifice,"an opening, especially one that opens into a bodily cavity"
orison,reverent petition to a deity
ornate,marked by complexity and richness of detail
ornithologist,a zoologist who studies feathered animals
ornithology,the branch of zoology that studies birds
orotund,overly formal and pompous in style
orthography,representing the sounds of a language by written symbols
oscillate,move or swing from side to side regularly
ostensible,appearing as such but not necessarily so
ostentatious,intended to attract notice and impress others
ostracism,the act of excluding someone from society by general consent
ostracize,expel from a community or group
outmoded,no longer in fashion
overhaul,"make repairs, renovations, revisions or adjustments to"
overt,open and observable; not secret or hidden
overture,orchestral music at the beginning of an opera or musical
overweening,presumptuously arrogant
overwrought,deeply agitated especially from emotion
pan,shallow container made of metal
panegyric,formally expressing praise
paragon,a perfect embodiment of a concept
parasite,an animal or plant that lives in or on a host
pathology,the branch of medical science that studies diseases
paucity,an insufficient quantity or number
peccadillo,a petty misdeed
pedant,a person who is preoccupied with rules and learning
pedantry,an ostentatious and inappropriate display of learning
pedestrian,a person who travels by foot
peer,look searchingly
penchant,a strong liking or preference
penury,a state of extreme poverty or destitution
perch,an elevated place serving as a seat
peremptory,putting an end to all debate or action
perennial,lasting an indefinitely long time
perfidious,tending to betray
perfidy,an act of deliberate betrayal
perfunctory,hasty and without attention to detail; not thorough
pernicious,exceedingly harmful
perpetuate,cause to continue or prevail
perplex,be a mystery or bewildering to
pertinent,being of striking appropriateness
pervade,spread or diffuse through
pestilence,any epidemic disease with a high death rate
petition,a formal request that something be submitted to an authority
petulance,an irritable feeling
petulant,easily irritated or annoyed
philanthropist,someone who makes charitable donations
phlegmatic,showing little emotion
pillage,steal goods; take as spoils
pine,a coniferous tree
piquant,having an agreeably pungent taste
pique,"call forth, as an emotion, feeling, or response"
pitch,the high or low quality of a sound
pith,spongelike central cylinder of the stems of flowering plants
placate,cause to be more favorably inclined
placid,calm and free from disturbance
plaintiff,a person who brings an action in a court of law
plaintive,expressing sorrow
platitude,a trite or obvious remark
plea,a humble request for help from someone in authority
plead,appeal or request earnestly
plethora,extreme excess
plod,"walk heavily and firmly, as when weary, or through mud"
pluck,pull lightly but sharply
plumb,exactly vertical
plummet,drop sharply
polemic,"a verbal or written attack, especially of a belief or dogma"
polymath,a person of great and varied learning
ponderous,having great mass and weight and unwieldiness
posit,take as a given; assume as a postulate or axiom
posture,the arrangement of the body and its limbs
practitioner,someone who carries out a learned profession
preamble,"a preliminary introduction, as to a statute or constitution"
precarious,not secure; beset with difficulties
precedence,status established in order of importance or urgency
precious,of high worth or cost
precipice,a very steep cliff
precipitate,bring about abruptly
precipitous,extremely steep
preclude,"make impossible, especially beforehand"
precursor,something indicating the approach of something or someone
predilection,a predisposition in favor of something
predisposition,an inclination to interpret statements in a particular way
preen,clean with one's bill
premise,a statement that is held to be true
prerogative,a right reserved exclusively by a person or group
prescience,the power to foresee the future
presume,take to be the case or to be true
presumption,a premise that is taken for granted
presumptuous,"going beyond what is appropriate, permitted, or courteous"
prevaricate,be deliberately ambiguous or unclear
pristine,immaculately clean and unused
probity,complete and confirmed integrity
proclamation,a formal public statement
proclivity,a natural inclination
prodigal,recklessly wasteful
prodigality,the trait of spending extravagantly
prodigious,"great in size, force, extent, or degree"
prodigy,an unusually gifted or intelligent person
profligate,unrestrained by convention or morality
profound,situated at or extending to great depth
profundity,the quality of being physically deep
profuse,produced or growing in extreme abundance
prolong,lengthen in time; cause to be or last longer
prompt,according to schedule or without delay
prone,having a tendency
propensity,a natural inclination
propitiate,make peace with
proposition,a suggestion offered for acceptance or rejection
propriety,correct behavior
prosaic,lacking wit or imagination
protracted,relatively long in duration
provocation,a means of arousing or stirring to action
provocative,serving or tending to excite or stimulate
prudent,marked by sound judgment
prune,"cultivate, tend, and cut back the growth of"
pucker,gather something into small wrinkles or folds
pugnacious,ready and able to resort to force or violence
pundit,an expert who publicly gives opinions via mass media
pungent,strong and sharp to the sense of taste or smell
pusillanimous,"lacking in courage, strength, and resolution"
putrefy,decay with an offensive smell
quack,the sound made by a duck
quaff,swallow hurriedly or greedily or in one draught
qualm,uneasiness about the fitness of an action
quarantine,isolation to prevent the spread of infectious disease
quash,declare invalid
quibble,evade the truth of a point by raising irrelevant objections
quiescence,a state of quiet but possibly temporary)inaction
quintessential,representing the perfect example of a class or quality
quiver,"shake with fast, tremulous movements"
quotidian,found in the ordinary course of events
ramification,"a consequence, especially one that causes complications"
rampant,occurring or increasing in an unrestrained way
ranger,an official responsible for managing an area of forest
rash,imprudently incurring risk
rationale,an explanation of the fundamental reasons
recalcitrant,stubbornly resistant to authority or control
recant,formally reject or disavow a formerly held belief
recede,pull back or move away or backward
reciprocal,concerning each of two or more persons or things
reckless,marked by defiant disregard for danger or consequences
recluse,one who lives in solitude
recompense,make payment to
recondite,difficult to understand
recourse,act of turning to for assistance
redeem,exchange or buy back for money; under threat
redoubtable,inspiring fear
refractory,stubbornly resistant to authority or control
refurbish,improve the appearance or functionality of
reinstate,"bring back into original existence, function, or position"
remorse,"a feeling of deep regret, usually for some misdeed"
rescind,cancel officially
reticent,reluctant to draw attention to yourself
reverberate,ring or echo with sound
rigor,excessive sternness
rotundity,the roundness of a 3-dimensional object
salvage,rescuing a ship or its crew from a shipwreck or a fire
sate,fill to contentment
saturnine,bitter or scornful
savant,a learned person
sedulous,marked by care and persistent effort
shatter,break into many pieces
shirk,avoid one's assigned duties
shrill,having or emitting a high-pitched and sharp tone or tones
shun,avoid and stay away from deliberately
simper,"smile in an insincere, unnatural, or coy way"
sinister,"wicked, evil, or dishonorable"
skeptical,marked by or given to doubt
sketchy,giving only major points; lacking completeness
skiff,a small boat propelled by oars or by sails or by a motor
slack,not tense or taut
slur,utter indistinctly
smother,deprive of oxygen and prevent from breathing
sober,"not affected by a chemical substance, especially alcohol"
somber,serious and gloomy in character
sordid,foul and run-down and repulsive
specious,plausible but false
spell,write or name the letters that comprise the accepted form of
spendthrift,someone who spends money freely or wastefully
spine,the series of vertebrae forming the backbone
sporadic,recurring in scattered or unpredictable instances
spurious,plausible but false
squalid,foul and run-down and repulsive
squander,spend thoughtlessly; throw away
squelch,suppress or crush completely
stake,a strong wooden or metal post driven into the ground
stark,severely simple
startle,surprise greatly
steadfast,marked by firm determination or resolution; not shakable
steep,having a sharp inclination
stickler,someone who insists on something
stiff,incapable of or resistant to bending
stifled,held in check with difficulty
stigma,a symbol of disgrace or infamy
stigmatize,condemn or openly brand as disgraceful
stint,supply sparingly and with restricted quantities
stipulate,make an express demand or provision in an agreement
stockade,fortification consisting of a fence set firmly for defense
